rank,feature,gain,split_count
413,feature_at_lag_21,332492.96728515625,16
414,feature_br_lag_1,330767.4699707031,12
415,feature_br_lag_21,327996.7111816406,8
416,feature_ah_lag_3,326300.45947265625,17
417,feature_bf_rolling_mean_3,324752.59033203125,17
418,feature_ad_lag_3,315948.90625,18
419,feature_bn_rolling_mean_3,312282.228515625,18
420,feature_x_rolling_mean_7,309033.11181640625,15
421,feature_y_rolling_mean_3,307856.3017578125,14
422,feature_ah_rolling_mean_3,306705.55078125,15
423,feature_k_rolling_mean_7,302899.02978515625,15
424,feature_bw_lag_14,302128.85888671875,7
425,feature_ay_lag_5,300719.642578125,19
426,feature_x_lag_21,300287.037109375,11
427,feature_bm_lag_1,299511.3505859375,17
428,feature_at_rolling_mean_3,298806.59130859375,19
429,feature_bm_lag_14,293855.7766113281,20
430,feature_ay_rolling_mean_3,293396.3896484375,17
431,feature_bf_lag_1,292740.7177734375,13
432,feature_an_lag_5,291218.16064453125,16
433,feature_bg_rolling_std_7,290135.86682128906,21
434,feature_y_rolling_mean_7,287230.5009765625,20
435,feature_bk,286773.58154296875,8
436,feature_ac_lag_21,285302.111328125,18
437,feature_br_lag_14,284271.76171875,13
438,feature_be_rolling_mean_7,282464.6005859375,9
439,feature_an_lag_1,281981.25244140625,15
440,feature_al_lag_1,279888.3000488281,24
441,feature_an_lag_28,278919.57958984375,16
442,feature_x_lag_28,278674.41064453125,19
443,feature_ag,276812.59765625,17
444,feature_q,273176.8095703125,15
445,feature_h_rolling_mean_3,268919.48828125,16
446,feature_au_lag_28,268693.177734375,11
447,feature_x_lag_1,268233.25,14
448,feature_ak_lag_21,265998.501953125,17
449,feature_bf_lag_5,265278.7978515625,13
450,feature_ch_lag_21,263394.5515136719,13
451,feature_ac_lag_3,262691.72314453125,13
452,feature_az_rolling_mean_3,260698.7998046875,10
453,feature_ap_lag_28,254394.40234375,9
454,feature_q_rolling_mean_7,254084.609375,10
455,feature_bo_lag_1,249844.89111328125,14
456,feature_aq_rolling_std_7,249069.4912109375,16
457,feature_bl_rolling_mean_7,248596.6591796875,10
458,feature_t,248284.39086914062,15
459,feature_am_rolling_std_7,246866.34033203125,14
460,feature_q_lag_21,245658.2138671875,11
461,feature_bq_lag_5,240696.869140625,8
462,feature_bq_lag_28,240399.16015625,13
463,feature_bm_rolling_mean_3,238414.0390625,9
464,feature_bn_lag_5,237369.501953125,10
465,feature_ac_lag_14,236803.47998046875,10
466,feature_br_rolling_std_7,235033.876953125,7
467,feature_a_lag_28,232465.17895507812,17
468,feature_ap_rolling_mean_7,231323.77392578125,8
469,feature_k_lag_5,227524.4580078125,14
470,feature_bk_rolling_mean_7,223339.12890625,14
471,feature_p_lag_28,223196.16015625,13
472,feature_k_rolling_mean_3,218038.080078125,13
473,feature_bv_lag_3,216616.92333984375,6
474,feature_an_lag_14,216567.67919921875,14
475,feature_bq_lag_21,216224.85986328125,16
476,feature_ak_lag_28,214922.068359375,15
477,feature_bu_lag_28,209599.3984375,2
478,feature_ac_rolling_mean_3,206565.90087890625,5
479,feature_az_lag_3,206146.87060546875,10
480,feature_t_lag_5,203644.8095703125,4
481,feature_ap_rolling_mean_3,203104.35034179688,6
482,feature_q_lag_1,202388.947265625,9
483,feature_ba_lag_28,198804.94653320312,8
484,feature_ae_rolling_mean_7,191195.99951171875,15
485,feature_n_lag_5,186113.60815429688,12
486,feature_bm_rolling_mean_7,184646.19921875,6
487,feature_bk_lag_28,183950.99072265625,8
488,feature_ac_rolling_mean_7,180741.0703125,7
489,feature_x_rolling_mean_3,179119.06298828125,9
490,feature_br_lag_5,176191.7880859375,6
491,feature_ay_lag_1,176045.19897460938,11
492,feature_ap_rolling_std_7,174979.001953125,3
493,feature_ag_rolling_mean_7,174317.0302734375,11
494,feature_ba,171870.1103515625,7
495,feature_bk_lag_5,171223.53979492188,9
496,feature_by_rolling_std_7,169812.29052734375,10
497,feature_bo_rolling_mean_7,168800.4580078125,11
498,feature_p_lag_21,167909.189453125,6
499,feature_ca_rolling_std_7,166719.2001953125,8
500,feature_ay_lag_3,165971.708984375,8
501,feature_a_lag_21,165709.23974609375,15
502,feature_bv,165017.7998046875,6
503,feature_bm_lag_3,163232.6572265625,8
504,feature_br,163104.1875,10
505,feature_bv_rolling_mean_7,162900.296875,5
506,feature_t_rolling_mean_7,161878.44921875,8
507,feature_br_rolling_mean_7,161368.3486328125,6
508,feature_br_lag_28,159619.67236328125,12
509,feature_bn_rolling_mean_7,159260.95849609375,10
510,feature_aw_rolling_mean_7,156618.8125,8
511,feature_ac_lag_1,156552.5771484375,8
512,feature_ag_rolling_mean_3,155984.39013671875,9
513,feature_bc_lag_14,155574.49072265625,10
514,feature_a_lag_5,152511.5673828125,10
515,feature_bk_rolling_std_7,152079.0,8
516,feature_ay,151031.150390625,11
517,feature_ap_lag_5,148552.880859375,5
518,feature_an_lag_21,148521.4609375,8
519,feature_a_lag_14,147387.99072265625,12
520,feature_an_lag_3,145759.25,7
521,feature_q_lag_28,144659.76025390625,14
522,feature_br_lag_3,143200.69921875,6
523,feature_az_rolling_mean_7,142599.1396484375,12
524,feature_l_rolling_std_7,141910.47290039062,9
525,feature_az_lag_5,138421.5166015625,8
526,feature_bj,137879.400390625,2
527,feature_q_lag_14,137809.92041015625,9
528,feature_a_lag_3,134337.39111328125,9
529,feature_ak_lag_5,132373.3623046875,8
530,feature_bs_lag_28,131819.78662109375,5
531,feature_bv_rolling_mean_3,131737.203125,2
532,feature_ch_lag_14,131565.2509765625,5
533,feature_t_lag_28,129112.13037109375,13
534,feature_bo_rolling_std_7,127291.4287109375,11
535,feature_bn_lag_1,127033.8603515625,9
536,feature_k_lag_3,126222.4716796875,12
537,feature_at_rolling_std_7,125290.69091796875,8
538,feature_bk_lag_21,125259.72998046875,7
539,feature_au_lag_21,123197.51245117188,6
540,feature_ad_rolling_std_7,122416.10009765625,11
541,feature_bj_lag_28,121820.021484375,8
542,feature_ak_rolling_mean_3,120856.55126953125,7
543,feature_o_rolling_mean_7,120317.2998046875,4
544,feature_w_rolling_mean_3,119319.169921875,5
545,feature_ak_lag_14,118003.16015625,8
546,feature_bw_lag_21,117509.2392578125,4
547,feature_i_rolling_std_7,117468.5810546875,10
548,feature_bv_lag_5,114864.201171875,3
549,feature_bl_rolling_std_7,113468.9912109375,5
550,feature_au_rolling_mean_7,113467.6376953125,5
551,feature_bq_lag_14,112442.4794921875,10
552,feature_t_lag_14,112328.4501953125,8
553,feature_s,110214.13916015625,9
554,feature_bc_lag_28,109523.529296875,7
555,feature_ba_rolling_mean_7,108590.818359375,8
556,feature_y_lag_3,108408.99975585938,7
557,feature_bb_rolling_mean_3,107973.30810546875,8
558,feature_av_lag_1,106056.3984375,4
559,feature_ax_rolling_mean_3,103538.751953125,4
560,feature_ae_rolling_std_7,103198.330078125,6
561,feature_bt_lag_5,101780.5419921875,3
562,feature_p,99940.390625,7
563,feature_ba_lag_1,99470.66845703125,6
564,feature_aw_lag_28,98671.51025390625,6
565,feature_ba_lag_5,96755.21044921875,8
566,feature_ax_rolling_mean_7,96079.50927734375,5
567,feature_q_lag_3,93950.58984375,6
568,feature_bh_rolling_mean_3,93774.259765625,8
569,feature_ak_lag_3,93558.4794921875,6
570,feature_ag_rolling_std_7,93031.3994140625,4
571,feature_ba_lag_21,91516.689453125,6
572,feature_bu_lag_5,89819.498046875,2
573,feature_bj_lag_21,89559.19165039062,5
574,feature_ch,89241.7509765625,5
575,feature_bx,89073.5,3
576,feature_bv_lag_1,89034.44921875,4
577,feature_aw_lag_21,87655.31958007812,8
578,feature_ae_lag_1,86894.0400390625,6
579,feature_bc,86129.30078125,5
580,feature_bt_lag_1,84870.412109375,3
581,feature_bo_lag_5,84110.9912109375,4
582,feature_ax,83181.0703125,6
583,feature_ac_lag_5,82854.12963867188,7
584,feature_aw,82503.6396484375,8
585,feature_w_lag_21,80868.30078125,3
586,feature_bw_lag_28,80257.30078125,2
587,feature_bk_lag_1,79796.6416015625,3
588,feature_bb_rolling_mean_7,79308.63989257812,5
589,feature_bc_rolling_mean_7,79199.318359375,2
590,feature_av_rolling_mean_7,78054.85986328125,6
591,feature_m_rolling_std_7,77556.169921875,7
592,feature_ch_rolling_mean_7,77166.3291015625,6
593,feature_bt_rolling_mean_3,74954.900390625,2
594,feature_ag_lag_1,74835.21142578125,7
595,feature_bj_rolling_mean_3,72693.80078125,4
596,feature_ae_lag_3,72688.669921875,4
597,feature_bw_lag_3,72298.5,1
598,feature_t_lag_21,72129.51953125,5
599,feature_bs_lag_14,72092.38159179688,3
600,feature_ch_rolling_mean_3,70875.89892578125,3
601,feature_ag_lag_5,70148.46044921875,7
602,feature_ao_rolling_std_7,70123.8984375,2
603,feature_ch_lag_1,69734.69921875,4
604,feature_bo_lag_3,69616.890625,6
605,feature_br_rolling_mean_3,69131.2490234375,7
606,feature_bn_lag_3,68277.54931640625,5
607,feature_bo_rolling_mean_3,67724.3486328125,4
608,feature_q_lag_5,66998.23046875,4
609,feature_ag_lag_3,65898.7587890625,5
610,feature_an_rolling_std_7,64414.701171875,4
611,feature_q_rolling_mean_3,63553.779296875,6
612,feature_bk_lag_14,61727.548828125,4
613,feature_af_rolling_std_7,61317.69921875,3
614,feature_ab_lag_21,60673.35009765625,7
615,feature_az_rolling_std_7,60385.02783203125,4
616,feature_ab,58993.9990234375,4
617,feature_ax_lag_21,58759.22021484375,4
618,feature_ap_lag_3,58520.399658203125,4
619,feature_bj_lag_14,57385.68896484375,5
620,feature_bb_lag_21,56083.1005859375,5
621,feature_ab_lag_1,55974.298828125,2
622,feature_bc_rolling_mean_3,55819.900390625,2
623,feature_y_lag_5,55474.0302734375,6
624,feature_bu_lag_14,52623.11181640625,4
625,feature_bk_rolling_mean_3,52360.759765625,3
626,feature_cd_rolling_std_7,52277.7998046875,5
627,feature_ch_lag_5,51242.701171875,3
628,feature_bt_lag_28,50527.6015625,1
629,feature_aw_lag_1,50042.41064453125,3
630,feature_ba_lag_3,48643.23046875,4
631,feature_al_lag_21,48530.440185546875,10
632,feature_au,47113.1494140625,5
633,feature_ax_lag_14,46881.599609375,4
634,feature_w_rolling_mean_7,46670.80078125,2
635,feature_bj_rolling_mean_7,46655.730712890625,3
636,feature_x_lag_3,46652.58984375,5
637,feature_bs_lag_21,46202.451171875,2
638,feature_bs_rolling_mean_7,45573.0,1
639,feature_bc_lag_1,45315.3994140625,3
640,feature_o_rolling_std_7,44669.900390625,3
641,feature_au_lag_1,44398.0703125,3
642,feature_ag_lag_14,44232.41015625,5
643,feature_bx_rolling_mean_3,44147.69921875,1
644,feature_x_lag_5,43855.29052734375,4
645,feature_p_lag_14,42831.75927734375,4
646,feature_au_lag_14,42412.22998046875,5
647,feature_ce_rolling_std_7,41317.1015625,1
648,feature_p_lag_3,41046.80078125,3
649,feature_ay_rolling_std_7,40735.900390625,3
650,feature_d_rolling_mean_3,39466.099609375,2
651,feature_ay_lag_14,39064.309814453125,6
652,feature_bx_rolling_mean_7,38723.6015625,1
653,feature_bj_lag_5,38398.390625,2
654,feature_ab_lag_14,37994.099609375,3
655,feature_t_lag_3,37892.45947265625,4
656,feature_bx_lag_21,37750.10009765625,2
657,feature_bb_lag_28,37161.09130859375,3
658,feature_av_lag_21,36597.22021484375,4
659,feature_bj_lag_1,35664.5,3
660,feature_p_lag_1,35335.5,1
661,feature_ax_lag_28,35006.800048828125,4
662,feature_aw_rolling_mean_3,34741.77978515625,4
663,feature_s_rolling_mean_3,34454.62939453125,3
664,feature_aw_lag_14,34437.3291015625,3
665,feature_al_lag_3,33461.58984375,4
666,feature_av_lag_14,33132.2197265625,3
667,feature_bb_lag_1,33022.80078125,2
668,feature_e,31857.1904296875,5
669,feature_al_lag_14,30636.119140625,5
670,feature_bs_rolling_mean_3,30091.900390625,1
671,feature_ab_lag_3,29486.2001953125,2
672,feature_ax_lag_5,29413.2998046875,2
673,feature_al_lag_5,29084.810546875,4
674,feature_t_lag_1,28914.669189453125,3
675,feature_s_lag_21,28459.3701171875,2
676,feature_t_rolling_mean_3,28427.83984375,3
677,feature_f_lag_21,28347.009765625,4
678,feature_av,27278.79052734375,2
679,feature_w_lag_14,26684.599609375,1
680,feature_bt_lag_21,25998.90966796875,2
681,feature_bu_rolling_mean_7,25971.92041015625,3
682,feature_bv_lag_14,25861.029296875,2
683,feature_bs,25694.80078125,1
684,feature_bw_rolling_std_7,25532.550048828125,3
685,feature_s_lag_28,25359.369140625,2
686,feature_ab_rolling_mean_3,25242.7900390625,2
687,feature_y_rolling_std_7,24197.599609375,1
688,feature_n_rolling_std_7,23967.900390625,2
689,feature_ak_rolling_mean_7,23474.6298828125,2
690,feature_au_rolling_mean_3,22626.7001953125,2
691,feature_bi_rolling_mean_7,20971.859375,2
692,feature_aj_rolling_std_7,20967.43994140625,3
693,feature_bx_lag_1,20675.599609375,1
694,feature_bs_lag_5,20240.5302734375,3
695,feature_aw_rolling_std_7,20169.0302734375,2
696,feature_z_rolling_std_7,19018.3603515625,2
697,feature_bu_rolling_std_7,18884.02001953125,2
698,feature_bb_lag_5,18466.15966796875,2
699,feature_ba_lag_14,17377.6494140625,2
700,feature_aw_lag_3,17329.379638671875,3
701,feature_ab_lag_5,16544.66015625,2
702,feature_w_rolling_std_7,16240.12060546875,2
703,feature_bt_rolling_std_7,15386.0,1
704,feature_b_lag_28,15332.2197265625,2
705,feature_bx_lag_5,15006.7001953125,1
706,feature_bs_lag_1,14733.7998046875,1
707,feature_p_rolling_mean_7,14588.2099609375,2
708,feature_s_rolling_mean_7,13983.689697265625,2
709,feature_bb_lag_14,13949.640625,2
710,feature_p_lag_5,13655.599609375,1
711,feature_bt_rolling_mean_7,13171.099609375,1
712,feature_bc_lag_21,13061.5,1
713,feature_av_lag_3,12096.32958984375,2
714,feature_g_lag_5,11854.360107421875,2
715,feature_bi_lag_1,11450.7001953125,1
716,feature_d_lag_5,11365.16015625,2
717,feature_au_lag_3,11332.7001953125,1
718,feature_aw_lag_5,11089.830078125,2
719,feature_bt,10262.2001953125,1
720,feature_av_lag_28,9996.23046875,1
721,feature_ba_rolling_mean_3,9088.619873046875,2
722,feature_au_lag_5,8909.75,1
723,feature_r_rolling_std_7,8901.9599609375,1
724,feature_ae_rolling_mean_3,8885.240234375,1
725,feature_t_rolling_std_7,8797.6904296875,1
726,feature_o_lag_21,8186.2001953125,1
727,feature_w_lag_3,8058.08984375,1
728,feature_bc_lag_3,8004.759765625,1
729,feature_x_rolling_std_7,7839.27978515625,1
730,feature_bw_lag_5,7648.56005859375,1
731,feature_bu_lag_1,7608.85009765625,1
732,feature_ax_lag_1,7370.990234375,1
733,feature_c_rolling_mean_3,7264.56982421875,1
734,feature_c_lag_3,7215.489990234375,2
735,feature_aa_rolling_mean_3,7211.1298828125,1
736,feature_s_lag_1,7192.9599609375,1
737,feature_d_lag_28,7118.64990234375,1
738,feature_e_rolling_std_7,6976.93994140625,1
739,feature_ab_rolling_mean_7,6943.02978515625,1
740,feature_e_lag_14,6920.7001953125,1
741,feature_d,6889.3701171875,1
742,feature_p_rolling_mean_3,6873.10986328125,1
743,feature_s_lag_3,6763.41015625,1
744,feature_bw_rolling_mean_3,6535.240234375,1
745,feature_w,6500.10986328125,1
746,feature_bi_rolling_std_7,6339.35986328125,1
747,feature_av_lag_5,6298.64013671875,1
748,feature_av_rolling_mean_3,6223.830078125,1
749,feature_bi_lag_14,6126.27001953125,1
750,feature_bw,5417.39013671875,1
751,feature_bs_rolling_std_7,5402.47021484375,1
752,feature_bi,5362.580078125,1
753,feature_bp_rolling_std_7,5335.2998046875,1
754,feature_c_lag_5,5251.72998046875,1
755,feature_bu_lag_21,5188.8798828125,1
756,feature_e_lag_3,5124.509765625,1
757,feature_g_rolling_mean_7,4732.77001953125,1
758,feature_e_lag_1,4711.47021484375,1
759,feature_bk_lag_3,4150.16015625,1
760,feature_ab_lag_28,4113.2998046875,1
761,feature_bi_lag_5,4031.409912109375,1
762,feature_bb,3859.43994140625,1
763,feature_e_lag_28,3806.9599609375,1
764,feature_e_rolling_mean_3,3477.469970703125,1
765,feature_f_rolling_std_7,3237.300048828125,1
766,feature_c,3116.47998046875,1
767,feature_b_lag_1,3005.93994140625,1
768,feature_g_lag_21,2747.949951171875,1
769,feature_ac_rolling_std_7,2500.739990234375,1
770,feature_c_lag_21,2332.02001953125,1
771,feature_b_lag_14,2196.68994140625,1
772,feature_b,0.0,0
773,feature_f,0.0,0
774,feature_g,0.0,0
775,feature_o,0.0,0
776,feature_aa,0.0,0
777,feature_bu,0.0,0
778,feature_aa_lag_1,0.0,0
779,feature_aa_lag_3,0.0,0
780,feature_aa_lag_5,0.0,0
781,feature_aa_lag_14,0.0,0
782,feature_aa_lag_21,0.0,0
783,feature_aa_lag_28,0.0,0
784,feature_aa_rolling_mean_7,0.0,0
785,feature_aa_rolling_std_7,0.0,0
786,feature_ab_rolling_std_7,0.0,0
787,feature_ak_rolling_std_7,0.0,0
788,feature_au_rolling_std_7,0.0,0
789,feature_av_rolling_std_7,0.0,0
790,feature_ax_lag_3,0.0,0
791,feature_b_lag_3,0.0,0
792,feature_bb_lag_3,0.0,0
793,feature_b_lag_5,0.0,0
794,feature_bc_lag_5,0.0,0
795,feature_b_lag_21,0.0,0
796,feature_b_rolling_mean_3,0.0,0
797,feature_b_rolling_mean_7,0.0,0
798,feature_ax_rolling_std_7,0.0,0
799,feature_b_rolling_std_7,0.0,0
800,feature_ba_rolling_std_7,0.0,0
801,feature_bb_rolling_std_7,0.0,0
802,feature_bc_rolling_std_7,0.0,0
803,feature_bi_lag_3,0.0,0
804,feature_bj_lag_3,0.0,0
805,feature_bi_lag_21,0.0,0
806,feature_bi_lag_28,0.0,0
807,feature_bi_rolling_mean_3,0.0,0
808,feature_bj_rolling_std_7,0.0,0
809,feature_bs_lag_3,0.0,0
810,feature_bt_lag_3,0.0,0
811,feature_bt_lag_14,0.0,0
812,feature_bw_lag_1,0.0,0
813,feature_c_lag_1,0.0,0
814,feature_bu_lag_3,0.0,0
815,feature_bx_lag_3,0.0,0
816,feature_bx_lag_14,0.0,0
817,feature_c_lag_14,0.0,0
818,feature_bv_lag_21,0.0,0
819,feature_bv_lag_28,0.0,0
820,feature_bx_lag_28,0.0,0
821,feature_c_lag_28,0.0,0
822,feature_bu_rolling_mean_3,0.0,0
823,feature_bw_rolling_mean_7,0.0,0
824,feature_c_rolling_mean_7,0.0,0
825,feature_bv_rolling_std_7,0.0,0
826,feature_c_rolling_std_7,0.0,0
827,feature_d_lag_1,0.0,0
828,feature_ch_lag_3,0.0,0
829,feature_d_lag_3,0.0,0
830,feature_d_lag_14,0.0,0
831,feature_d_lag_21,0.0,0
832,feature_d_rolling_mean_7,0.0,0
833,feature_ch_rolling_std_7,0.0,0
834,feature_d_rolling_std_7,0.0,0
835,feature_f_lag_1,0.0,0
836,feature_g_lag_1,0.0,0
837,feature_f_lag_3,0.0,0
838,feature_g_lag_3,0.0,0
839,feature_e_lag_5,0.0,0
840,feature_f_lag_5,0.0,0
841,feature_f_lag_14,0.0,0
842,feature_g_lag_14,0.0,0
843,feature_e_lag_21,0.0,0
844,feature_f_lag_28,0.0,0
845,feature_g_lag_28,0.0,0
846,feature_f_rolling_mean_3,0.0,0
847,feature_g_rolling_mean_3,0.0,0
848,feature_e_rolling_mean_7,0.0,0
849,feature_f_rolling_mean_7,0.0,0
850,feature_g_rolling_std_7,0.0,0
851,feature_o_lag_1,0.0,0
852,feature_o_lag_3,0.0,0
853,feature_o_lag_5,0.0,0
854,feature_s_lag_5,0.0,0
855,feature_o_lag_14,0.0,0
856,feature_s_lag_14,0.0,0
857,feature_o_lag_28,0.0,0
858,feature_o_rolling_mean_3,0.0,0
859,feature_p_rolling_std_7,0.0,0
860,feature_q_rolling_std_7,0.0,0
861,feature_w_lag_1,0.0,0
862,feature_w_lag_5,0.0,0
863,feature_w_lag_28,0.0,0
864,feature_u_rolling_std_7,0.0,0
